	grid_num	northeast	southwest	raw_data	keywords	addresses	landmarks	subregion	streets
0	1	(47.710647, 9.256198)	(47.707948716544436, 9.252200222235707)	[]	[]	[]	[]	[]	[]
1	2	(47.710646930364476, 9.260195777764292)	(47.707948646915455, 9.256197793660329)	[]	[]	[]	[]	[]	[]
2	3	(47.71064686072895, 9.264193555523258)	(47.707948577286466, 9.260195365079625)	[]	[]	[]	[]	[]	[]
3	4	(47.710646791093424, 9.2681913332769)	(47.70794850765748, 9.264192936493597)	[{'AddressNumber': '5', 'Country': 'DEU', 'Geometry': {'Point': [9.26661, 47.71027]}, 'Interpolated': False, 'Label': 'Gemeindekindergarten Daisendorf, Schulstraße 5, 88718, Daisendorf, Baden-Württemberg, DEU', 'Municipality': 'Daisendorf', 'PostalCode': '88718', 'Region': 'Baden-Württemberg', 'Street': 'Schul straße', 'SubRegion': 'Bodenseekreis', 'Category': 'School'}]	['School']	['Schulstraße 5, 88718, Daisendorf, Baden-Württemberg, DEU']	['Gemeindekindergarten Daisendorf']	['Bodenseekreis']	['Schulstraße']
4	5	(47.710646721457906, 9.272189111025215)	(47.70794843802849, 9.268190507902245)	[]	[]	[]	[]	[]	[]
5	6	(47.71064665182238, 9.276186888768205)	(47.707948368399514, 9.27218807930557)	[]	[]	[]	[]	[]	[]
6	7	(47.710646582186854, 9.28018466650587)	(47.70794829877054, 9.27618565070357)	[]	[]	[]	[]	[]	[]
7	8	(47.71064651255132, 9.284182444238208)	(47.70794822914156, 9.280183222096245)	[]	[]	[]	[]	[]	[]
8	9	(47.7106464429158, 9.288180221965222)	(47.707948159512576, 9.284180793483596)	[]	[]	[]	[]	[]	[]
9	10	(47.71064637328028, 9.29217799968691)	(47.7079480898836, 9.288178364865624)	[]	[]	[]	[]	[]	[]
10	11	(47.71064630364475, 9.296175777403272)	(47.70794802025463, 9.292175936242327)	[]	[]	[]	[]	[]	[]
11	12	(47.710646234009225, 9.30017355511431)	(47.70794795062565, 9.296173507613705)	[]	[]	[]	[]	[]	[]
12	13	(47.7106461643737, 9.30417133282002)	(47.70794788099668, 9.30017107897976)	[]	[]	[]	[]	[]	[]
13	14	(47.71064609473817, 9.308169110520407)	(47.7079478113677, 9.304168650340491)	[]	[]	[]	[]	[]	[]
14	15	(47.71064602510264, 9.312166888215467)	(47.70794774173873, 9.308166221695897)	[]	[]	[]	[]	[]	[]
15	16	(47.70794878618, 9.256198)	(47.70525050144948, 9.252200222235707)	[]	[]	[]	[]	[]	[]
16	17	(47.707948716551016, 9.260195571429945)	(47.70525043182704, 9.256197587356118)	[]	[]	[]	[]	[]	[]
17	18	(47.707948646922034, 9.264193142854566)	(47.70525036220461, 9.260194952471204)	[]	[]	[]	[]	[]	[]
18	19	(47.70794857729306, 9.268190714273864)	(47.70525029258217, 9.264192317580969)	[{'AddressNumber': '2', 'Country': 'DEU', 'Geometry': {'Point': [9.26696, 47.70715]}, 'Interpolated': False, 'Label': 'Bäckerei Mayer, Meersburger Straße 2, 88718, Daisendorf, Baden-Württemberg, DEU', 'Municipality': 'Daisendorf', 'PostalCode': '88718', 'Region': 'Baden-Württemberg', 'Street': 'Meersburger Straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Bakery'}, {'AddressNumber': '2', 'Country': 'DEU', 'Geometry': {'Point': [9.26727, 47.70635]}, 'Interpolated': False, 'Label': 'Kurallee, Kurallee 2, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Kur allee', 'SubRegion': 'Bodenseekreis', 'Category': 'Hotel'}, {'AddressNumber': '2', 'Country': 'DEU', 'Geometry': {'Point': [9.26727, 47.70635]}, 'Interpolated': False, 'Label': 'Kurallee, Kurallee 2, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Kur allee', 'SubRegion': 'Bodenseekreis', 'Category': 'Lodging'}, {'AddressNumber': '2', 'Country': 'DEU', 'Geometry': {'Point': [9.26696, 47.70715]}, 'Interpolated': False, 'Label': 'Bäckerei Mayer, Meersburger Straße 2, 88718, Daisendorf, Baden-Württemberg, DEU', 'Municipality': 'Daisendorf', 'PostalCode': '88718', 'Region': 'Baden-Württemberg', 'Street': 'Meersburger Straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Restaurant'}]	['Bakery', 'Hotel', 'Lodging', 'Restaurant']	['Meersburger Straße 2, 88718, Daisendorf, Baden-Württemberg, DEU', 'Kurallee 2, 88709, Meersburg, Baden-Württemberg, DEU']	['Bäckerei Mayer', 'Kurallee']	['Bodenseekreis']	['MeersburgerStraße', 'Kurallee']
